,n,m,A,A0,C1,g1,C2,Q,b,pile_up,width,depth,displacement,x_pileup,x_intersect,hys_width,fd-slope,x_fmax,hist_lowest,clength
514,1.027045859814265,-0.8474676523342299,7.885648552440351e-08,1.4653197643579647e-06,88157.0,521.0,5988.0,-117.0,1.0,0.000115248506,4.609940240000001e-05,0.005198109429999999,5.23269892,0.0233502779,5.20229006,0.4285068499999998,0.7097392861580851,5.21318197,4.29345274,0.009304049999999895
515,0.9968417785084079,-0.6865163159172291,8.175444063771673e-08,2.597414872907881e-06,183743.0,457.0,5906.0,-276.0,6.0,0.000101527577,4.0611030799999996e-05,0.0048662289,4.90113878,0.0213004295,4.8316741,0.35837650999999937,0.7648857720533718,4.83732367,3.95732617,0.016529560000000387
516,1.95558809808776,-0.5727269617627291,8.636620075526609e-12,2.6357345186291455e-07,168376.0,496.0,2492.0,-210.0,5.0,0.000497642672,0.00019905706880000003,0.0055545442700000005,5.58556604,0.0206575654,5.55790949,0.14213562000000035,0.6722284577466948,5.50408125,4.89385128,0.0017414100000001653
517,1.036413193123872,-0.6914208744400511,1.590015333573653e-08,6.418850889938237e-07,100727.0,450.0,2301.0,-187.0,3.0,0.0005815337640000001,0.0002326135056,0.00598230865,6.01207209,0.0218988042,5.9854641,0.15244627000000044,0.623590295154704,5.93338299,5.33858585,0.004525659999999654
518,2.9333694597743563,-0.6131531148921661,3.0724288743769833e-13,5.045491344507307e-06,191174.0,497.0,3426.0,-205.0,5.0,0.000302163826,0.0001208655304,0.005248391999999999,5.28017282,0.0207528956,5.25188828,0.16903018999999994,0.7149363035527837,5.17528629,4.5650115,0.04433728000000059
519,1.6961449826707642,-0.5275201848533501,4.983114711934452e-10,3.3570625175104126e-06,89943.0,365.0,4588.0,-231.0,5.0,0.000243106027,9.72424108e-05,0.00545677962,5.48897409,0.0221520755,5.42450809,0.36357307000000016,0.6817739712056711,5.42701864,4.592308999999999,0.018075950000000063
520,1.3269501009127858,-0.834160223662135,9.183971934630307e-09,1.320709881596242e-06,222724.0,443.0,4726.0,-146.0,2.0,8.46264011e-05,3.385056044e-05,0.00460078148,4.63652563,0.0202409159,4.6050148,0.16595458999999926,0.8047858311479175,4.59749651,3.9023807,0.008425240000000224
521,1.249837504954375,-0.5313710093362121,2.3057234601482948e-08,7.951585126604238e-06,177273.0,331.0,3895.0,-338.0,7.0,0.000201040049,8.041601959999999e-05,0.004996674600000001,5.02943707,0.0200756975,5.00038862,0.1941967,0.7525575158345218,4.9165678,4.24996996,0.04955292
522,2.355261844129461,-0.571719372923384,7.100913910640041e-12,3.0687425177709684e-06,131463.0,279.0,2455.0,-340.0,9.0,0.000543348433,0.0002173393732,0.00551101053,5.5416398000000004,0.0202266723,5.5142889,0.1519465499999999,0.6824837820827689,5.42137432,4.79500628,0.0175032599999998
523,1.264285106131162,-0.5312872359587091,1.7645303128556292e-08,6.69853444368852e-06,194083.0,372.0,3043.0,-220.0,10.0,0.000277545565,0.00011101822599999999,0.00508036418,5.112742900000001,0.0197208822,5.08392954,0.1271510099999995,0.7406499836874845,4.99561214,4.39312267,0.03308153999999952
524,1.653789820800799,-0.915287768180894,5.468570440137388e-10,4.722293715007399e-07,54669.0,389.0,5338.0,-160.0,6.0,0.000211291408,8.451656320000001e-05,0.00555017963,5.5834384,0.023074138900000003,5.55409622,0.5214686400000001,0.6653876363896947,5.56066847,4.55744505,0.003046509999999891
525,2.093136234830568,-0.8104835362255409,9.313021836397709e-11,2.380892287273745e-06,204586.0,502.0,5458.0,-291.0,4.0,0.000129735781,5.1894312400000015e-05,0.00485751033,4.89221191,0.0208418015,4.82443333,0.30480670999999937,0.7663928571490711,4.82781124,4.01631689,0.018725400000000114
526,2.990814352870297,-0.8162573421183711,3.000462170861722e-15,2.8460703596835816e-08,108972.0,510.0,5855.0,-218.0,4.0,0.000159894902,6.39579608e-05,0.00522572221,5.25974703,0.0224225614,5.22987843,0.4805526699999998,0.7077901628152835,5.22753811,4.23091507,0.0003318800000000621
527,1.163751776292302,-0.689115988734129,3.276642168153873e-08,3.105778650262245e-06,67491.0,400.0,5826.0,-211.0,9.0,0.000185663797,7.426551880000001e-05,0.005533521529999999,5.56659698,0.0235305466,5.53747845,0.6018700599999995,0.671963989370387,5.50624752,4.4036292999999995,0.017524719999999938
528,0.8492505450943929,-0.9830900554950229,1.3386401351977638e-07,4.1222625847608054e-07,99631.0,461.0,5274.0,-200.0,7.0,0.000204449112,8.177964479999999e-05,0.00539583247,5.42902231,0.0225481801,5.39977026,0.4629440300000001,0.686280480298544,5.39138174,4.43126202,0.003402710000000475
529,2.072507354554515,-0.5766590678495901,9.32535384153398e-11,6.061233244022019e-06,94669.0,410.0,3106.0,-146.0,6.0,0.000408994441,0.0001635977764,0.005797023420000001,5.82730436,0.0220367722,5.80029345,0.20816708000000084,0.6454192979495289,5.7327075,5.10530901,0.03639268999999956
530,2.7730453369580363,-0.5400168832491911,2.6234838580145627e-13,2.0828756681023002e-06,165212.0,442.0,3197.0,-162.0,7.0,0.000325693341,0.0001302773364,0.005280008070000001,5.31227446,0.0207920969,5.28355932,0.16352367999999995,0.705814734431773,5.2421689,4.61059093,0.01814460999999934
531,1.135275970675385,-0.5687475865605041,1.7397682979634952e-08,2.3686874034890887e-06,163597.0,480.0,3829.0,-263.0,4.0,0.00027905983700000003,0.00011162393480000002,0.00529716024,5.32965565,0.0212128107,5.25037813,0.23834038000000035,0.7039192612532589,5.25628471,4.54465628,0.014945509999999553
532,0.8977775983995381,-0.6695403183305291,2.358053092765932e-07,4.202380727824154e-06,109375.0,331.0,2113.0,-304.0,5.0,0.000644957647,0.0002579830588,0.00593407499,5.96331978,0.0210637283,5.93712473,0.14752149999999986,0.6343660818149228,5.83259439,5.25651264,0.02987338000000062
