D[-],D_dot[1/s],p[-],p_dot[1/s],Mises[MPa],Hydro[MPa],teq[-],eeq[-],V[mm^3],Sig_tri[-],LoadState
0.0013454256,0.0066538711,0.0422683988,0.0328753818,327.4429489,-3.727214856,0.0434412851,0.0013861599,0.0016973335,-0.0109161849,Sx
0.0014021795,0.0069657205,0.0425456066,0.0329939966,327.07662714,-3.7429941551,0.0437147125,0.0013856101,0.0016973306,-0.0110602101,Sx
0.0014438072,0.0068600046,0.0427539237,0.0331017732,326.85297859,-3.7554501927,0.0439199657,0.0013855384,0.001697327,-0.0111004594,Sx
0.001474423,0.0066821713,0.0429105794,0.0331608313,326.71502635,-3.7650685686,0.0440745507,0.0013855336,0.0016973249,-0.0113326242,Sx
0.0015248475,0.0071611816,0.0431471485,0.0332763452,326.44209558,-3.7784638257,0.0443085366,0.0013850118,0.0016973243,-0.0114182794,Sx
0.0015632395,0.0072658304,0.0433252127,0.0334039489,326.25307729,-3.7886173279,0.0444845205,0.0013847444,0.0016973233,-0.0115342981,Sx
0.001620014,0.0071166041,0.0435934287,0.0334986035,325.93147109,-3.8033757434,0.0447500568,0.0013841388,0.0016973234,-0.0115411635,Sx
0.001704939,0.007160651,0.0439972285,0.0336594743,325.44339363,-3.8256346959,0.045149632,0.001383583,0.0016973225,-0.0117373947,Sx
0.0017469576,0.0071616946,0.0442000478,0.0338985994,325.30006377,-3.8379824844,0.0453496022,0.0013837528,0.0016973191,-0.0119846237,Sx
0.0017918693,0.0075171721,0.0444040694,0.0339831001,325.11289636,-3.8495779679,0.0455516012,0.001383497,0.0016973186,-0.0120121851,Sx
0.0018259966,0.0076354404,0.0445576015,0.0341144296,324.97421626,-3.8583089362,0.0457034882,0.0013833293,0.0016973179,-0.012056758,Sx
0.0018836155,0.0085549935,0.044789231,0.0342741196,324.67960759,-3.8701858821,0.045932706,0.0013826712,0.0016973178,-0.0121471317,Sx
0.0019501818,0.0099520977,0.0450224278,0.0345618114,324.28496607,-3.880491623,0.0461625484,0.0013817757,0.0016973164,-0.0121156888,Sx
0.0020238332,0.0111237238,0.0452571536,0.034880459,323.73927719,-3.8885585761,0.0463926935,0.0013805245,0.0016973136,-0.0121072851,Sx
0.0020636886,0.0121790039,0.0453749918,0.0351686314,323.43476249,-3.8920578666,0.0465074204,0.0013799228,0.0016973106,-0.012282941,Sx
0.0021033253,0.0120110558,0.0454932038,0.0351840274,323.12976739,-3.8955524969,0.0466229894,0.0013791864,0.0016973089,-0.0124481521,Sx
0.0021428806,0.0119925709,0.0456117569,0.0352931184,322.81404559,-3.8988963252,0.0467388418,0.0013784004,0.001697307,-0.0124734401,Sx
0.0022017821,0.0118955242,0.0457904208,0.0354486133,322.29736992,-3.9032729948,0.046913403,0.0013770601,0.0016973047,-0.0127611111,Sx
0.0022560833,0.0109014387,0.0459699206,0.0355464147,321.85779372,-3.9088088202,0.047089373,0.0013761165,0.0016973029,-0.0128338579,Sx
0.0022840957,0.0112165491,0.0460601989,0.0357421664,321.64801643,-3.9116057865,0.0471777991,0.0013758291,0.0016973017,-0.0128124209,Sx
0.0022947338,0.0113278993,0.0460941469,0.0358097763,321.57088227,-3.912648021,0.047211079,0.0013757463,0.0016973014,-0.0127779082,Sx
0.0023101376,0.0109082624,0.0461450867,0.035779626,321.45510826,-3.9142625009,0.0472611451,0.0013756317,0.0016973011,-0.0127586382,Sx
0.0023326434,0.0105946641,0.0462215638,0.0357751783,321.29715918,-3.9169631408,0.047336469,0.0013755434,0.0016973007,-0.012950084,Sx
0.002366246,0.0104933992,0.0463364235,0.0357706341,321.09589033,-3.9216224694,0.0474499389,0.001375517,0.0016973006,-0.013115466,Sx
0.002419751,0.0110768358,0.0465095279,0.0358872766,320.78745092,-3.928418321,0.0476212791,0.0013753621,0.0016973011,-0.0131748086,Sx
0.002461984,0.0116360328,0.046640351,0.0361467025,320.53812764,-3.933089871,0.047750542,0.0013752728,0.0016973012,-0.013153206,Sx
0.0024941492,0.0117833765,0.0467389365,0.0362819306,320.34750424,-3.9364844598,0.0478480109,0.0013752389,0.0016973015,-0.0131535373,Sx
0.0025185178,0.0118847215,0.0468131531,0.036394596,320.20007959,-3.9389328265,0.0479213998,0.0013752266,0.0016973017,-0.0130912488,Sx
0.0025545067,0.01168265,0.0469246445,0.0364208894,319.98150376,-3.9427609455,0.0480318891,0.0013752247,0.0016973024,-0.0130748507,Sx
0.0026117457,0.0123521962,0.0470928082,0.0365737496,319.61729645,-3.9478885399,0.0481987913,0.0013751197,0.0016973038,-0.0129443094,Sx
0.0026265503,0.0129115995,0.0471350879,0.0369265263,319.53072295,-3.9491843824,0.0482404043,0.0013751488,0.0016973035,-0.0129247276,Sx
0.0026417252,0.0131383354,0.0471774403,0.0368692852,319.43234279,-3.9502570651,0.0482823227,0.0013751132,0.0016973038,-0.0129133447,Sx
0.0026644752,0.0131151181,0.0472411833,0.0369755143,319.26476245,-3.9515778162,0.0483453922,0.0013749806,0.0016973042,-0.0129223231,Sx
0.0026989671,0.0132703345,0.047337258,0.0371639903,318.97514805,-3.952941862,0.0484402954,0.0013746551,0.0016973048,-0.0129220406,Sx
0.0027537687,0.0141029424,0.0474826227,0.0375232821,318.42337681,-3.9530288914,0.0485833316,0.0013737948,0.0016973055,-0.0129231287,Sx
0.0027972896,0.0150339828,0.0475928616,0.0380407875,317.90147778,-3.9512053886,0.0486909614,0.0013728446,0.0016973053,-0.012928953,Sx
0.0028311044,0.0156759634,0.0476762685,0.0384725066,317.42933895,-3.9484294045,0.0487718733,0.0013719152,0.0016973048,-0.0129219408,Sx
0.0028824298,0.0160417017,0.0478026007,0.0390206368,316.5484718,-3.941275054,0.0488933511,0.0013700738,0.0016973031,-0.014229149,Sx
0.0029225444,0.0162463787,0.0478962027,0.0380823306,316.20990401,-3.9417083445,0.048985624,0.0013695249,0.0016973038,-0.0142807464,Sx
0.0029881583,0.0176085004,0.0480371371,0.0380806913,315.75742324,-3.9430172482,0.049125462,0.0013689182,0.0016973057,-0.0142805833,Sx
0.0031006789,0.0200854671,0.0482509458,0.0383996736,314.99312977,-3.9432549752,0.0493379481,0.0013677195,0.0016973096,-0.0142432794,Sx
0.00316007,0.021296081,0.0483589115,0.0388553083,314.60841743,-3.9432069507,0.0494445384,0.0013671702,0.0016973106,-0.0142534158,Sx
0.0032215004,0.0219619085,0.0484674944,0.0389676753,314.20313549,-3.9427399994,0.0495520984,0.0013665277,0.0016973124,-0.0142238162,Sx
0.0033200571,0.0234885017,0.0486317621,0.0392439751,313.51736172,-3.9406797519,0.0497148738,0.0013653007,0.0016973154,-0.014149818,Sx
0.0034787888,0.0251912087,0.0488810209,0.0396023404,312.37231696,-3.9353440603,0.0499624068,0.0013630975,0.0016973207,-0.0142618649,Sx
0.0036450403,0.0263680805,0.0491333704,0.0400208294,311.19408358,-3.9290822058,0.0502133937,0.0013610245,0.0016973259,-0.0141232862,Sx
0.0037330629,0.0279541726,0.0492613544,0.0405870017,310.5748187,-3.9251994398,0.0503400612,0.001360168,0.0016973279,-0.0140156285,Sx
0.0038218016,0.0280691024,0.0493898328,0.0405727146,309.95767349,-3.9212199919,0.0504683136,0.0013594949,0.0016973311,-0.013823012,Sx
0.0039561336,0.0283469598,0.0495833514,0.0407158055,309.05086172,-3.9155705723,0.0506621902,0.0013586682,0.0016973359,-0.0136742619,Sx
0.004058745,0.0289650235,0.0497297325,0.041134586,308.35581385,-3.9109960885,0.0508082738,0.0013580142,0.0016973387,-0.013645211,Sx
0.0042206099,0.0304749477,0.0499512785,0.0414412685,307.18335693,-3.9016318603,0.0510300175,0.0013565485,0.0016973436,-0.0132570134,Sx
0.0043919399,0.0324153447,0.0501763409,0.0421846172,305.80996096,-3.8885376508,0.0512539744,0.0013547243,0.0016973469,-0.0129572416,Sx
0.004566005,0.0330080968,0.050404494,0.0427920657,304.33597025,-3.8732709736,0.0514805803,0.0013529592,0.0016973496,-0.0125701244,Sx
0.0046553646,0.0341148592,0.0505203346,0.043674836,303.50304552,-3.8638128246,0.051594292,0.0013520382,0.0016973494,-0.0122444697,Sx
0.0046609197,0.0344321236,0.0505276538,0.0447740463,303.44664342,-3.8631749686,0.0516012717,0.0013519805,0.0016973491,-0.0122312364,Sx
0.00466931,0.0341144678,0.0505385653,0.0437947604,303.37018585,-3.8622759841,0.0516120042,0.0013519072,0.0016973492,-0.0124009937,Sx
0.0046819043,0.0340443846,0.0505549295,0.0436734976,303.25368117,-3.8609129537,0.0516281793,0.0013517873,0.0016973493,-0.0123551052,Sx
0.0047009021,0.034218884,0.0505795417,0.0437662755,303.07129416,-3.8587419585,0.0516525145,0.0013515915,0.0016973495,-0.0122838988,Sx
0.0047292225,0.0340349449,0.0506165234,0.043868968,302.79021708,-3.8553791673,0.0516890554,0.001351283,0.0016973498,-0.0121034599,Sx
0.0047720771,0.0343743152,0.0506722464,0.0441012551,302.34700054,-3.849958347,0.0517440043,0.0013507851,0.0016973502,-0.0118706432,Sx
0.0048046442,0.0349169406,0.0507142499,0.0444139691,301.99733322,-3.845579275,0.051785249,0.0013503904,0.0016973503,-0.0116917189,Sx
0.0048541346,0.0354290415,0.0507776493,0.0447432028,301.43067393,-3.8382524752,0.0518473203,0.001349729,0.0016973503,-0.0114646216,Sx
0.0049281286,0.0354636047,0.0508733816,0.0451995775,300.50610152,-3.8260086339,0.0519405397,0.0013485882,0.0016973498,-0.011167567,Sx
0.0050372531,0.0351734287,0.0510181432,0.0458948579,298.96842602,-3.8050338756,0.0520800797,0.0013465733,0.0016973474,-0.0116927228,Sx
0.0050915104,0.0350031572,0.0510908931,0.0461012188,298.22774477,-3.7951251327,0.0521501161,0.0013457786,0.0016973459,-0.0115299411,Sx
0.0051187637,0.0353517101,0.0511273385,0.0463665224,297.84031025,-3.7898774886,0.0521850802,0.0013453645,0.0016973449,-0.011358078,Sx
0.0051598048,0.035758689,0.0511822175,0.0467990598,297.2003228,-3.7810097689,0.0522373511,0.0013445969,0.001697343,-0.0114163949,Sx
0.0052191418,0.034459749,0.051264417,0.0466822903,296.28598566,-3.7685480081,0.0523159579,0.0013435245,0.0016973402,-0.0113475544,Sx
0.0052797147,0.0356120273,0.0513476233,0.047704756,295.2114668,-3.7532589849,0.0523941712,0.0013420301,0.001697336,-0.0108678805,Sx
0.0053103525,0.0365020638,0.0513899463,0.0490252081,294.57267697,-3.7436969426,0.0524330745,0.0013410137,0.0016973331,-0.0111385251,Sx
